Row_Number,Candidate_ID,Title,Final_Decision,URL,Match_Status
7,CAND_07D3A45DF1,Georgia Business Assets a Powerful Magnet for Electric Vehicle Industry | Georgia.org,review,https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry,unmatched
8,CAND_949B09990C,Georgia Electric Vehicle Manufacturing | Georgia Department of Economic Development,review,https://georgia.org/EV,unmatched
9,CAND_CB075DEF7C,Georgia Emerges as Hub for Sustainability | Georgia.org,review,https://georgia.org/blog/georgia-emerges-hub-sustainability,unmatched
11,CAND_2A1F23D1BC,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,https://www.georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,unmatched
12,CAND_FD95048FC0,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,https://georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,unmatched
13,CAND_D37B76E852,[PDF] Final Environmental Assessment - Department of Energy,review,https://www.energy.gov/sites/default/files/2024-06/EA_FONSI_Final_LPO_Aspen%20Aerogel.pdf,unmatched
15,CAND_5F0002B474,"Bartow County, Georgia Fulfills Location & Logistical ...",review,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,unmatched
18,CAND_B5FEE4A717,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",review,https://www.georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,unmatched
19,CAND_A817B83385,Hyundai Motor Group and SK On To Build EV Battery Facility in Bartow County | Georgia.org,review,https://georgia.org/press-release/hyundai-motor-group-and-sk-build-ev-battery-facility-bartow-county,unmatched
20,CAND_FD06DE8E5E,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",review,https://georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,unmatched
28,CAND_C37E93A7F9,First Hyundai Motor Group Supplier to Build Facility in Bulloch County | Georgia.org,review,https://www.georgia.org/press-release/first-hyundai-motor-group-supplier-build-facility-bulloch-county,unmatched
29,CAND_C25361B88E,First Hyundai Motor Group Supplier to Build Facility in Bulloch County | Georgia.org,review,https://georgia.org/press-release/first-hyundai-motor-group-supplier-build-facility-bulloch-county,unmatched
31,CAND_1D9DD9F07D,GEORGIA,review,https://climatepower.us/wp-content/uploads/2024/03/State-of-the-Clean-Energy-Boom_Georgia.pdf,unmatched
38,CAND_63E6DC798C,"Hyundai, SK On plan $5B Georgia EV battery plant | Utility Dive",review,https://www.utilitydive.com/news/Hyundai-SK-On-plan-5B-Georgia-EV-battery-joint-venture/648667/?ref=cleantech-vanguard.com,unmatched
40,CAND_5016FCF415,Global Temperature-controlled Storage Leader Lineage Logistics to Build New Savannah Facility | Georgia.org,review,https://georgia.org/press-release/global-temperature-controlled-storage-leader-lineage-logistics-build-new-savannah,unmatched
42,CAND_9B9BC477C6,How the Georgia-Korea Connection Energizes Opportunities | Georgia.org,review,https://www.georgia.org/blog/how-georgia-korea-connection-energizes-opportunities,unmatched
46,CAND_3E730C40B3,The Rise of America's Battery Belt – Asia Matters for America,review,https://asiamattersforamerica.org/articles/the-rise-of-americas-battery-belt,unmatched
49,CAND_84725DAAD6,Top tier supplier signs on for Kia facility in West Point | Georgia.org,review,https://georgia.org/newsroom/press-releases/top-tier-supplier-signs-on-for-kia-facility-in-west-point,unmatched
51,CAND_7AF43E183A,Georgia’s Extensive Logistics Network Speeds Goods to Market | Georgia.org,review,https://georgia.org/blog/georgias-extensive-logistics-network-speeds-goods-market,unmatched
52,CAND_EFD94C41C5,LG Energy Solution and Hyundai Motor Group to Establish Battery Cell Manufacturing Joint Venture in the U.S. – LG Energy Solution,review,https://news.lgensol.com/company-news/press-releases/1780/,unmatched
53,CAND_8DC0A89373,Congressional Record,review,https://www.congress.gov/119/crec/2025/04/28/171/70/CREC-2025-04-28.pdf,unmatched
55,CAND_6F2E677B9E,Hyundai Will Build First Fully-Dedicated EV Plant In Georgia - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/2022/05/hyundai-will-build-first-fully-dedicated-ev-plant-in-georgia,unmatched
56,CAND_06A1FEBC0B,Hyundai to build $5.5 billion EV and battery plant in Georgia - The Atlanta Voice,review,https://theatlantavoice.com/hyundai-to-build-5-5-billion-ev-and-battery-plant-in-georgia,unmatched
57,CAND_D3601EF059,Hyundai Motor Group | Georgia.org,review,https://georgia.org/hyundaimotorgroup,unmatched
59,CAND_11EAB94DC2,Electric Mobility Innovation Alliance (EMIA): Supply Chain | Georgia Department of Economic Development,review,https://georgia.org/mobility-supply-chain,unmatched
60,CAND_E512073CF6,Electric Mobility Innovation Alliance (EMIA): Supply Chain | Georgia Department of Economic Development,review,https://www.georgia.org/mobility-supply-chain,unmatched
61,CAND_6D1DF48ED0,[PDF] Clean Energy Investments Are Revitalizing Georgia Communities ...,review,https://climatepower.us/wp-content/uploads/2024/09/Clean-Energy-Investments-Are-Revitalizing-Georgia-Communities-CEE-2024_09_09-DR.pdf,unmatched
62,CAND_742154D72B,[PDF] Georgia Department of Economic Development Board Meeting,review,https://georgia.org/sites/default/files/2023-01/2022-5-11_gdecd_board_minutes.pdf,unmatched
64,CAND_65E83306D3,[PDF] georgia-highlights_4th_edition_25th_anniversary_2021.pdf,review,https://georgia.org/sites/default/files/2021-07/georgia-highlights_4th_edition_25th_anniversary_2021.pdf,unmatched
65,CAND_2790AA8AD8,Battery boom in the South: How states like Georgia are quietly building,review,https://business-news-today.com/battery-boom-in-the-south-how-states-like-georgia-are-quietly-building-energy-storage-capacity,unmatched
67,CAND_EE87E95CA3,[PDF] The Battery Report 2022 - Volta Foundation,review,https://report.volta.foundation/annual-battery-report/public/Battery_Report_2022.pdf,unmatched
70,CAND_5E094E1B8B,The Southeast US Battery Belt Is Learning To Love EVs - CleanTechnica,review,https://cleantechnica.com/2024/05/08/the-southeast-us-battery-belt-is-learning-to-love-evs/,unmatched
71,CAND_D16B2EDDE2,Hyundai Supplier PHA Will Bring 400+ Jobs To Georgia - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/hyundai-supplier-pha-400-jobs-georgia,unmatched
73,CAND_90FD822238,LG Energy Solution and Honda Break Ground for New Joint Venture EV Battery Plant in Ohio | Honda Global Corporate Website,review,https://global.honda/en/newsroom/news/2023/c230301eng.html,unmatched
77,CAND_AD8FDFFAE9,"LG Energy, Hyundai to invest additional $2B in Georgia battery cell plant | Utility Dive",review,https://www.utilitydive.com/news/lg-energy-hyundai-additional-2b-ellabell-savannah-georgia-joint-battery-cell/692717/,unmatched
84,CAND_A9B2768BB5,[PDF] 8 August 2022 US Army Corps of Engineers Savannah District ...,review,https://georgia.org/sites/default/files/2022-08/08.08.2022_response_to_404_permit_public_notice_comments.pdf,unmatched
86,CAND_5BA61B9D52,EV Parts Supplier NVH Korea To Establish Georgia Facility,review,https://www.tomorrowstechnician.com/ev-parts-supplier-nvh-korea-to-establish-georgia-facility,unmatched
89,CAND_E596B15CDA,"Kia to tap Savannah for Telluride components, Brunswick for export - Georgia Ports Authority",review,https://gaports.com/press-releases/kia-to-tap-savannah-for-telluride-components-brunswick-for-export,unmatched
90,CAND_520294220B,Tracking the EV battery factory construction boom across North America | TechCrunch,review,https://techcrunch.com/2025/02/06/tracking-the-ev-battery-factory-construction-boom-across-north-america/,unmatched
91,CAND_BDE8A47A20,"Battery Resourcers to Open North America’s Largest Lithium-ion Battery Recycling Facility in Georgia, Create 150 Jobs | Georgia.org",review,https://georgia.org/press-release/battery-resourcers-open-north-americas-largest-lithium-ion-battery-recycling-facility,unmatched
93,CAND_A9C0247D4B,EV Parts Supplier NVH Korea To Establish Georgia Facility,review,https://www.aftermarketnews.com/nvh-korea-georgia-manufacturing-facility/,unmatched
94,CAND_61061248ED,SK On and Hyundai Partner on Georgia EV Battery Plant | News | SK,review,https://eng.sk.com/news/sk-on-and-hyundai-motor-bolster-support-for-u-s-evs-with-georgia-battery-plant,unmatched
96,CAND_18824E5528,Seoyon E-Hwa To Invest $76M In Georgia Manufacturing Facility - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/seoyon-e-hwa-to-invest-76m-in-georgia-manufacturing-facility,unmatched
97,CAND_6E626CDF26,Georgia Companies Hit Key Milestones in Long-Term Partnerships | Georgia.org,review,https://georgia.org/blog/georgia-companies-hit-key-milestones-long-term-partnerships,unmatched
98,CAND_D9C76EDE63,"Troup County, Georgia | Business View Magazine",review,https://businessviewmagazine.com/troup-county-georgia,unmatched
104,CAND_60B5574D39,Hyundai and SK On plan $5B Georgia EV battery plant | Manufacturing Dive,review,https://www.manufacturingdive.com/news/Hyundai-SK-On-plan-5B-Georgia-EV-battery-joint-venture/648576/,unmatched
105,CAND_BE16ECF13E,Hyundai Mobis to build EV power system plant in Bryan County Georgia,review,https://www.savannahnow.com/story/business/automotive/2022/11/25/hyundai-mobis-electric-vehicle-power-system-plant-bryan-county-georgia/10762116002,unmatched
110,CAND_645DC9A550,Seoyon E-Hwa To Invest $76M In Georgia Manufacturing Facility - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/seoyon-e-hwa-to-invest-76m-in-georgia-manufacturing-facility/2,unmatched
111,CAND_CB9188102F,Hyundai’s Georgia EV supplier network adds 3 more manufacturers | Supply Chain Dive,review,https://www.supplychaindive.com/news/hyundai-georgia-supplier-network-nvh-korea-daesol-ausys-das-corp-manufacturers/693434,unmatched
114,CAND_FE3C42CB44,"Hyundai, LG to Put $2B More Into Georgia Battery Joint Venture - Global Atlanta",review,https://www.globalatlanta.com/hyundai-lg-to-put-2b-more-into-georgia-battery-joint-venture/,unmatched
115,CAND_60A4E611C6,US and Canada Electric Vehicle Supply Chain Map - Charged,review,https://www.charged-the-book.com/na-ev-supply-chain-map,unmatched
116,CAND_2B42851D60,Georgia Ports welcomes Wallenius Wilhelmsen’s new Brunswick hub facility - Georgia Ports Authority,review,https://gaports.com/press-releases/georgia-ports-welcomes-wallenius-wilhelmsens-new-brunswick-hub-facility/,unmatched
118,CAND_02DA515AAE,"Port of Savannah | Savannah Infrastructure | Port, Interstate, Rail, Airport",review,https://seda.org/do-business-here/infrastructure/,unmatched
122,CAND_6B58C545AB,Hyundai Mobis to build EV power system plant in Bryan County Georgia,review,https://www.usatoday.com/story/business/automotive/2022/11/25/hyundai-mobis-electric-vehicle-power-system-plant-bryan-county-georgia/10762116002,unmatched
124,CAND_580FAA5582,"Transportation, Distribution & Logistics | Georgia Department of Economic Development",review,https://georgia.org/industries/logistics-supply-chain,unmatched
125,CAND_3574D69362,Third Hyundai supplier sets up factory near upcoming EV plant | Manufacturing Dive,review,https://www.manufacturingdive.com/news/third-hyundai-supplier-sets-up-factory-near-incoming-ev-plant/640074/,unmatched
126,CAND_E6EB069F0C,Food Processing | Georgia Food Manufacturing Licenses & Permits,review,https://www.georgia.org/industries/food-processing,unmatched
127,CAND_AF848B9D64,Food Processing | Georgia Food Manufacturing Licenses & Permits,review,https://georgia.org/industries/food-processing,unmatched
128,CAND_D1FA8072FB,Hyundai supplier to build factory near automaker’s Georgia EV campus | Manufacturing Dive,review,https://www.manufacturingdive.com/news/hyundai-supplier-to-build-factory-near-its-savannah-ev-campus/636192,unmatched
129,CAND_0B9999F3B4,Hyundai’s Georgia EV supplier network adds 3 more manufacturers | Manufacturing Dive,review,https://www.manufacturingdive.com/news/hyundai-georgia-supplier-network-nvh-korea-daesol-ausys-das-corp-manufacturers/693349,unmatched
130,CAND_104BF99CDC,Hyundai’s Georgia EV supplier network adds 3 more manufacturers | WardsAuto,review,https://www.wardsauto.com/news/archive-auto-hyundai-georgia-supplier-network-nvh-korea-daesol-ausys-das-corp-manufacturers/693552,unmatched
